SalesID,Date,CustomerID,ProductID,StoreID,Quantity,TotalRevenue,TotalCost
1,2023-01-16,CU001,C005,S001,4,18.00,7.20
2,2023-01-20,CU005,C025,S001,2,9.80,4.00
3,2023-01-22,CU009,C020,S002,3,13.80,5.55
4,2023-01-25,CU016,C021,S002,5,23.50,9.50
5,2023-02-03,CU018,C011,S001,4,16.80,6.40
6,2023-02-10,CU002,C001,S003,10,25.00,8.00
7,2023-02-14,CU011,C018,S001,6,21.00,6.60
8,2023-02-28,CU008,C009,S001,2,8.00,3.00
9,2023-03-05,CU003,C005,S002,5,22.50,9.00
10,2023-03-09,CU020,C017,S002,8,26.40,8.00
11,2023-03-22,CU012,C012,S003,3,11.70,4.35
12,2023-04-12,CU004,C023,S001,15,27.00,7.50
13,2023-04-30,CU013,C030,S003,5,13.00,4.25
14,2023-05-16,CU014,C002,S002,7,16.10,4.90
15,2023-05-18,CU006,C027,S002,4,13.20,4.40
16,2023-06-01,CU007,C019,S003,6,16.80,5.40
17,2023-06-08,CU015,C003,S001,8,19.20,6.00
18,2023-07-03,CU010,C028,S003,10,27.00,9.00
19,2023-07-11,CU017,C024,S003,12,20.40,5.40
20,2023-08-19,CU019,C013,S001,5,16.00,5.50
21,2023-08-25,CU001,C005,S001,6,27.00,10.80
22,2023-08-28,CU005,C025,S001,4,19.60,8.00
23,2023-09-02,CU009,C011,S002,5,21.00,8.00
24,2023-09-05,CU016,C020,S002,3,13.80,5.55
25,2023-09-10,CU018,C012,S001,4,15.60,5.80
26,2023-09-12,CU003,C021,S002,4,18.80,7.60
27,2023-09-15,CU020,C008,S002,5,22.00,8.50
28,2023-09-20,CU012,C017,S003,10,33.00,10.00
29,2023-09-25,CU008,C009,S001,6,24.00,9.00
30,2023-10-02,CU002,C001,S003,8,20.00,6.40
31,2023-10-05,CU011,C015,S001,5,18.50,6.50
32,2023-10-10,CU015,C003,S001,4,9.60,3.00
33,2023-10-15,CU004,C023,S001,20,36.00,10.00
34,2023-10-20,CU013,C030,S003,6,15.60,5.10
35,2023-11-01,CU006,C028,S002,12,32.40,10.80
36,2023-11-05,CU014,C002,S002,10,23.00,7.00
37,2023-11-10,CU007,C019,S003,8,22.40,7.20
38,2023-11-15,CU017,C024,S003,15,25.50,6.75
39,2023-11-20,CU010,C004,S003,5,13.00,4.25
40,2023-11-25,CU019,C013,S001,6,19.20,6.60
41,2023-12-01,CU001,C006,S001,4,18.80,7.60
42,2023-12-05,CU005,C007,S001,5,23.00,9.25
43,2023-12-10,CU009,C008,S002,6,26.40,10.20
44,2023-12-15,CU016,C009,S002,3,12.00,4.50
45,2023-12-20,CU018,C010,S001,5,19.00,7.00
46,2023-12-25,CU003,C011,S002,10,42.00,16.00
47,2023-12-28,CU020,C012,S002,6,23.40,8.70
48,2023-12-30,CU012,C017,S003,15,49.50,15.00
